"","contry","region","confirmed","date"
"1","Country/Territory/Area","","","20200123"
"2","","","Cases","20200123"
"3","China","Total","571","20200123"
"4","","Hubei Province","375","20200123"
"5","","Unspecified4","131","20200123"
"6","","Guangdong Province","26","20200123"
"7","","Beijing Municipality","10","20200123"
"8","","Shanghai Municipality","9","20200123"
"9","","Chongqing Municipality","5","20200123"
"10","","Zhejiang Province","5","20200123"
"11","","Jiangxi Province","2","20200123"
"12","","Sichuan Province","2","20200123"
"13","","Tianjin Municipality","2","20200123"
"14","","Henan Province","1","20200123"
"15","","Hunan Province","1","20200123"
"16","","Shandong Province","1","20200123"
"17","","Yunnan Province","1","20200123"
"18","","Taipei Municipality","1","20200123"
"19","","Hong Kong Special Administrative","","20200123"
"20","","","1","20200123"
"21","","Region","","20200123"
"22","","Macau Special Administrative Region","1","20200123"
"23","Japan","","1","20200123"
"24","Republic of Korea","","1","20200123"
"25","Thailand","","4","20200123"
"26","United States of America","","1","20200123"
"27","Total","","581","20200123"
