,contry,region,confirmed,date
1,Country/Territory/Area,,,20200124
2,,,Cases,20200124
3,China,Total,830,20200124
4,,Unspecified4,384,20200124
5,,Hubei Province,375,20200124
6,,Guangdong Province,32,20200124
7,,Beijing Municipality,10,20200124
8,,Shanghai Municipality,9,20200124
9,,Chongqing Municipality,5,20200124
10,,Zhejiang Province,5,20200124
11,,Jiangxi Province,2,20200124
12,,Sichuan Province,2,20200124
13,,Tianjin Municipality,2,20200124
14,,Henan Province,1,20200124
15,,Hunan Province,1,20200124
16,,Shandong Province,1,20200124
17,,Yunnan Province,1,20200124
18,,Taipei Municipality,1,20200124
19,,Hong Kong Special Administrative,,20200124
20,,,2,20200124
21,,Region,,20200124
22,,Macau Special Administrative Region,2,20200124
23,Japan,,1,20200124
24,Republic of Korea,,2,20200124
25,Viet Nam,,2,20200124
26,Republic of Singapore,,1,20200124
27,Thailand,,4,20200124
28,United States of America,,1,20200124
29,Total,,846,20200124
