,contry,confirmed,date
1,WHO Regional Office Country/Territory/Area,,20200125
2,,Cases,20200125
3,China,1297,20200125
4,Japan,3,20200125
5,Republic of Korea,2,20200125
6,WHO WPRO Region,,20200125
7,Viet Nam,2,20200125
8,Republic of Singapore,3,20200125
9,Australia,3,20200125
10,Thailand,4,20200125
11,WHO SEARO Region ,,20200125
12,,,20200125
13,Federal Democratic Republic of Nepal,1,20200125
14,WHO PAHO Region United States of America,2,20200125
15,WHO EURO Region French Republic,3,20200125
16,Total Confirmed,,20200125
17,Total,1320,20200125
18,cases,,20200125
