"","region","contry","confirmed","date"
"1","","China","1,985","20200126"
"2","","Japan","3","20200126"
"3","","Republic of Korea","2","20200126"
"4","Western Pacific","Viet Nam","2","20200126"
"5","","Singapore","4","20200126"
"6","","Australia","4","20200126"
"7","","Malaysia","3","20200126"
"8","","Thailand","5","20200126"
"9","South-East Asia","","","20200126"
"10","","Nepal","1","20200126"
"11","Region of the Americas","United States of America","2","20200126"
"12","European Region","France","3","20200126"
"13","Total Confirmed cases","Total","2,014","20200126"
