"","region","contry","confirmed","date"
"1","","China",5997,"20200129"
"2","","Japan",7,"20200129"
"3","Western Pacific","Republic of Korea",4,"20200129"
"4","","",NA,"20200129"
"5","","Viet Nam",2,"20200129"
"6","","",NA,"20200129"
"7","","Singapore",7,"20200129"
"8","","",NA,"20200129"
"9","","Australia",7,"20200129"
"10","","Malaysia",4,"20200129"
"11","","Cambodia",1,"20200129"
"12","","Thailand",14,"20200129"
"13","South-East Asia","Nepal",1,"20200129"
"14","","Sri Lanka",1,"20200129"
"15","Region of the Americas","United States of America",5,"20200129"
"16","","Canada",3,"20200129"
"17","","France",4,"20200129"
"18","European Region","",NA,"20200129"
"19","","Germany",4,"20200129"
"20","Eastern Mediterranean","United Arab Emirates",4,"20200129"
"21","Total Confirmed cases","Total",6065,"20200129"
