"","region","contry","confirmed","death","NA"
"10","","China","17238","361","20200203"
"11","","","(2831)",NA,"20200203"
"12","Western Pacific","Japan","20","0","20200203"
"13","","Republic of Korea","15","0","20200203"
"14","","Viet Nam","8","0","20200203"
"15","","",NA,NA,"20200203"
"16","","Singapore","18","0","20200203"
"17","","",NA,NA,"20200203"
"18","","Australia","12","0","20200203"
"19","","Malaysia","8","0","20200203"
"20","","Cambodia","1","0","20200203"
"21","","Philippines","2","1","20200203"
"22","","Thailand","19","0","20200203"
"23","","Nepal","1","0","20200203"
"24","South-East Asia","",NA,NA,"20200203"
"25","","Sri Lanka","1","0","20200203"
"26","","India","3","0","20200203"
"27","","United States of",NA,NA,"20200203"
"28","Region of the","","11","0","20200203"
"29","","America","11","0","20200203"
"30","Americas","",NA,NA,"20200203"
"31","","Canada","4","0","20200203"
"32","","France","6","0","20200203"
"33","","Finland","1","0","20200203"
"34","","Germany","10","0","20200203"
"35","","Italy","2","0","20200203"
"36","European Region","",NA,NA,"20200203"
"37","","Russian Federation","2","0","20200203"
"38","","Spain","1","0","20200203"
"39","","Sweden","1","0","20200203"
"40","","United Kingdom","2","0","20200203"
"41","Eastern","",NA,NA,"20200203"
"42","","United Arab Emirates","5","0","20200203"
"43","Mediterranean","",NA,NA,"20200203"
"44","Total Confirmed","","17391",NA,"20200203"
"45","","Total","123","362","20200203"
"46","cases","","(2838)",NA,"20200203"
