"","region","contry","confirmed","death","date"
"1","","China","37251","812","20200209"
"2","","Singapore","40","0","20200209"
"3","Western Pacific Region","",NA,NA,"20200209"
"4","0 (0)","Republic of Korea","27","0","20200209"
"5","","Japan","26","0","20200209"
"6","","Malaysia","17","0","20200209"
"7","","Australia","15","0","20200209"
"8","","",NA,NA,"20200209"
"9","","Viet Nam","14","0","20200209"
"10","","",NA,NA,"20200209"
"11","","Philippines","3","1","20200209"
"12","","Cambodia","1","0","20200209"
"13","","Thailand","32","0","20200209"
"14","","India","3","0","20200209"
"15","South-East Asia Region","",NA,NA,"20200209"
"16","","Nepal","1","0","20200209"
"17","","Sri Lanka","1","0","20200209"
"18","","United States of",NA,NA,"20200209"
"19","Region of the Americas America","United States of America","12","0","20200209"
"20","","Canada","7","0","20200209"
"21","","Germany","14","0","20200209"
"22","","France","11","0","20200209"
"23","","Italy","3","0","20200209"
"24","","The United Kingdom","3","0","20200209"
"25","European Region","Russian Federation","2","0","20200209"
"26","","Belgium","1","0","20200209"
"27","","Finland","1","0","20200209"
"28","","Spain","1","0","20200209"
"29","","Sweden","1","0","20200209"
"30","Eastern Mediterranean","",NA,NA,"20200209"
"31","Region","United Arab Emirates","7","0","20200209"
"32","International Other","",NA,NA,"20200209"
"33","","conveyance (Japan)","64**","0","20200209"
