"","contry","confirmed","death","NA.","date"
"1","Singapore","58","0","20200214","20200214"
"2","Japan","33","1","20200214","20200214"
"3","Republic of Korea","28","0","20200214","20200214"
"4","Malaysia","19","0","20200214","20200214"
"5","Viet Nam","16","0","20200214","20200214"
"6","Australia","15","0","20200214","20200214"
"7","Philippines","3","1","20200214","20200214"
"8","Cambodia","1","0","20200214","20200214"
"9","Thailand","33","0","20200214","20200214"
"10","India","3","0","20200214","20200214"
"11","China","48548","1381","20200214","20200214"
"12","Nepal","1","0","20200214","20200214"
"13","Sri Lanka","1","0","20200214","20200214"
"14","United States of",NA,NA,"20200214","20200214"
"15","United States of America","15","0","20200214","20200214"
"16","Canada","7","0","20200214","20200214"
"17","Germany","16","0","20200214","20200214"
"18","France","11","0","20200214","20200214"
"19","The United Kingdom","9","0","20200214","20200214"
"20","Italy","3","0","20200214","20200214"
"21","Russian Federation","2","0","20200214","20200214"
"22","Spain","2","0","20200214","20200214"
"23","Belgium","1","0","20200214","20200214"
"24","Finland","1","0","20200214","20200214"
"25","Sweden","1","0","20200214","20200214"
"26","Eastern Mediterranean",NA,NA,"20200214","20200214"
"27","United Arab Emirates","8","0","20200214","20200214"
"28","International Other",NA,NA,"20200214","20200214"
"29","conveyance (Japan)","218**","0","20200214","20200214"
