"","contry","confirmed","death","date"
"1","China","78191","2718","20200226"
"2","Republic of Korea","1261","12","20200226"
"3","Japan","164","1","20200226"
"4","Singapore","91","0","20200226"
"5","Australia","23","0","20200226"
"6","Malaysia","22","0","20200226"
"7","Viet Nam","16","0","20200226"
"8","Philippines","3","1","20200226"
"9","Cambodia","1","0","20200226"
"10","Thailand","40","0","20200226"
"11","India","3","0","20200226"
"12","Nepal","1","0","20200226"
"13","Sri Lanka","1","0","20200226"
"14","United States of America","53","0","20200226"
"15","Canada","10","0","20200226"
"16","Italy","322","11","20200226"
"17","Germany","18","0","20200226"
"18","The United Kingdom","13","0","20200226"
"19","France","12","1","20200226"
"20","Austria","2","0","20200226"
"21","Croatia","2","0","20200226"
"22","Israel","2","0","20200226"
"23","Russian Federation","2","0","20200226"
"24","Spain","2","0","20200226"
"25","Belgium","1","0","20200226"
"26","Finland","1","0","20200226"
"27","Sweden","1","0","20200226"
"28","Switzerland","1","0","20200226"
"29","Iran (Islamic Republic of)","95","15","20200226"
"30","Bahrain","26","0","20200226"
"31","United Arab Emirates","13","0","20200226"
"32","Kuwait","12","0","20200226"
"33","Iraq","5","0","20200226"
"34","Oman","4","0","20200226"
"35","Afghanistan","1","0","20200226"
"36","Egypt","1","0","20200226"
"37","Lebanon","1","0","20200226"
"38","Algeria","1","0","20200226"
"39","Subtotal for all regions","2227","41","20200226"
"40","","691","3","20200226"
"41","Grand total§","2918","44","20200226"
