,contry,confirmed,death,date
1,China,78630,2747,20200227
2,Republic of Korea,1766,13,20200227
3,Japan,186,3,20200227
4,Singapore,93,0,20200227
5,Australia,23,0,20200227
6,Malaysia,22,0,20200227
7,Viet Nam,16,0,20200227
8,Philippines,3,1,20200227
9,Cambodia,1,0,20200227
10,Thailand,40,0,20200227
11,India,3,0,20200227
12,Nepal,1,0,20200227
13,Sri Lanka,1,0,20200227
14,United States of America,59,0,20200227
15,Canada,11,0,20200227
16,Brazil,1,0,20200227
17,Italy,400,12,20200227
18,Germany,21,0,20200227
19,France,18,2,20200227
20,The United Kingdom,13,0,20200227
21,Spain,12,0,20200227
22,Croatia,3,0,20200227
23,Austria,2,0,20200227
24,Finland,2,0,20200227
25,Israel,2,0,20200227
26,Russian Federation,2,0,20200227
27,Sweden,2,0,20200227
28,Belgium,1,0,20200227
29,Denmark,1,0,20200227
30,Estonia,1,0,20200227
31,Georgia,1,0,20200227
32,Greece,1,0,20200227
33,North Macedonia,1,0,20200227
34,Norway,1,0,20200227
35,Romania,1,0,20200227
36,Switzerland,1,0,20200227
37,Iran (Islamic Republic of),141,22,20200227
38,Kuwait,43,0,20200227
39,Bahrain,33,0,20200227
40,United Arab Emirates,13,0,20200227
41,Iraq,6,0,20200227
42,Oman,4,0,20200227
43,Lebanon,2,0,20200227
44,Pakistan,2,0,20200227
45,Afghanistan,1,0,20200227
46,Egypt,1,0,20200227
47,Algeria,1,0,20200227
48,Subtotal for all regions,2959,53,20200227
49,International,705,4,20200227
50,Grand total§,3664,57,20200227
