"","contry","confirmed","death","Transmission classification","Days since last reported case","date"
"1","China","79394","2838","","","20200229"
"2","Republic of Korea","3150","17","Local transmission","0","20200229"
"3","Japan","230","5","Local transmission","0","20200229"
"4","Singapore","98","0","Local transmission","0","20200229"
"5","Australia","24","0","Local transmission","0","20200229"
"6","Malaysia","24","0","Local transmission","1","20200229"
"7","Viet Nam","16","0","Local transmission","16","20200229"
"8","Philippines","3","1","Imported cases only","25","20200229"
"9","Cambodia","1","0","Imported cases only","33","20200229"
"10","New Zealand","1","0","Imported cases only","1","20200229"
"11","Italy","888","21","Local transmission","0","20200229"
"12","Germany","57","0","Local transmission","0","20200229"
"13","France","57","2","Local transmission","0","20200229"
"14","Spain","32","0","Local transmission","0","20200229"
"15","The United Kingdom","20","0","Local transmission","0","20200229"
"16","Sweden","12","0","Imported cases only","0","20200229"
"17","Switzerland","10","0","Imported cases only","0","20200229"
"18","Norway","6","0","Imported cases only","0","20200229"
"19","Croatia","5","0","Local transmission","0","20200229"
"20","Israel","5","0","Imported cases only","0","20200229"
"21","Austria","5","0","Imported cases only","0","20200229"
"22","Romania","3","0","Imported cases only","0","20200229"
"23","Greece","3","0","Imported cases only","1","20200229"
"24","Denmark","2","0","Imported cases only","0","20200229"
"25","Georgia","2","0","Imported cases only","0","20200229"
"26","Netherlands","2","0","Imported cases only","0","20200229"
"27","Finland","2","0","Imported cases only","3","20200229"
"28","Russian Federation","2","0","Imported cases only","29","20200229"
"29","San Marino","1","0","Local transmission","0","20200229"
"30","North Macedonia","1","0","Imported cases only","3","20200229"
"31","Estonia","1","0","Imported cases only","2","20200229"
"32","Lithuania","1","0","Imported cases only","1","20200229"
"33","Belarus","1","0","Imported cases only","1","20200229"
"34","Belgium","1","0","Imported cases only","25","20200229"
"35","Thailand","42","0","Local transmission","0","20200229"
"36","India","3","0","Imported cases only","26","20200229"
"37","Nepal","1","0","Imported cases only","47","20200229"
"38","Sri Lanka","1","0","Imported cases only","33","20200229"
"39","Iran (Islamic Republic of)","388","34","Local transmission","0","20200229"
"40","Kuwait","45","0","Imported cases only","0","20200229"
"41","Bahrain","38","0","Imported cases only","0","20200229"
"42","United Arab Emirates","19","0","Local transmission","1","20200229"
"43","Iraq","8","0","Imported cases only","0","20200229"
"44","Oman","6","0","Imported cases only","1","20200229"
"45","Lebanon","2","0","Imported cases only","3","20200229"
"46","Pakistan","2","0","Imported cases only","3","20200229"
"47","Afghanistan","1","0","Imported cases only","5","20200229"
"48","Egypt","1","0","Imported cases only","15","20200229"
"49","United States of America","62","0","Local transmission","0","20200229"
"50","Canada","14","0","Imported cases only","0","20200229"
"51","Mexico","2","0","Imported cases only","0","20200229"
"52","Brazil","1","0","Imported cases only","3","20200229"
"53","Algeria","1","0","Imported cases only","4","20200229"
"54","Nigeria","1","0","Imported cases only","1","20200229"
"55","","705","6","Local transmission","3","20200229"
