,contry,confirmed,death,Transmission.classification,Days.since.last.reported.case,date
1,China,79968,2873,Local transmission,0,20200301
,Republic of Korea,3736,18,,,20200301
2,Japan,239,5,Local transmission,0,20200301
3,Singapore,102,0,Local transmission,0,20200301
4,Australia,25,0,Local transmission,0,20200301
5,Malaysia,24,0,Local transmission,2,20200301
6,Viet Nam,16,0,Local transmission,17,20200301
7,Philippines,3,1,Imported cases only,26,20200301
8,Cambodia,1,0,Imported cases only,34,20200301
9,New Zealand,1,0,Imported cases only,2,20200301
10,Italy,1128,29,Local transmission,0,20200301
11,France,100,2,Local transmission,0,20200301
12,Germany,57,0,Local transmission,1,20200301
13,Spain,45,0,Local transmission,0,20200301
14,The United Kingdom,23,0,Local transmission,0,20200301
15,Switzerland,18,0,Imported cases only,0,20200301
16,Norway,15,0,Local transmission,0,20200301
17,Sweden,13,0,Imported cases only,0,20200301
18,Austria,10,0,Imported cases only,0,20200301
19,Croatia,7,0,Local transmission,0,20200301
20,Israel,7,0,Imported cases only,0,20200301
21,Netherlands,7,0,Local transmission,0,20200301
22,Azerbaijan,3,0,Imported cases only,0,20200301
23,Denmark,3,0,Imported cases only,0,20200301
24,Georgia,3,0,Imported cases only,0,20200301
25,Greece,3,0,Imported cases only,2,20200301
26,Romania,3,0,Imported cases only,1,20200301
27,Finland,2,0,Imported cases only,4,20200301
28,Russian Federation,2,0,Imported cases only,30,20200301
29,Belarus,1,0,Imported cases only,2,20200301
30,Belgium,1,0,Imported cases only,26,20200301
31,Estonia,1,0,Imported cases only,3,20200301
32,Ireland,1,0,Imported cases only,0,20200301
33,Lithuania,1,0,Imported cases only,2,20200301
34,Monaco,1,0,Under investigation,0,20200301
35,North Macedonia,1,0,Imported cases only,4,20200301
36,San Marino,1,0,Local transmission,1,20200301
37,Thailand,42,0,Local transmission,1,20200301
38,India,3,0,Imported cases only,27,20200301
39,Nepal,1,0,Imported cases only,48,20200301
40,Sri Lanka,1,0,Imported cases only,34,20200301
41,Iran (Islamic Republic of),593,43,Local transmission,0,20200301
42,Kuwait,45,0,Imported cases only,1,20200301
43,Bahrain,40,0,Imported cases only,0,20200301
44,United Arab Emirates,19,0,Local transmission,1,20200301
45,Iraq,13,0,Imported cases only,0,20200301
46,Oman,6,0,Imported cases only,2,20200301
47,Pakistan,4,0,Imported cases only,0,20200301
48,Lebanon,2,0,Imported cases only,4,20200301
49,Afghanistan,1,0,Imported cases only,6,20200301
50,Egypt,1,0,Imported cases only,16,20200301
51,Qatar,1,0,Imported cases only,0,20200301
52,United States of America,62,0,Local transmission,1,20200301
53,Canada,19,0,Local transmission,0,20200301
54,Brazil,2,0,Imported cases only,0,20200301
55,Mexico,2,0,Imported cases only,1,20200301
56,Ecuador,1,0,Imported cases only,0,20200301
57,Algeria,1,0,Imported cases only,5,20200301
58,Nigeria,1,0,Imported cases only,2,20200301
59,,705,6,Local transmission,4,20200301
