"","contry","confirmed","death","Transmission.classification","Days.since.last.reported.case","date"
"1","China","82802","3331","Local transmission","0","20200403"
"2","Republic of Korea","10062","174","Local transmission","0","20200403"
"3","Australia","5224","23","Local transmission","0","20200403"
"4","Malaysia","3116","50","Local transmission","0","20200403"
"5","Philippines","2633","107","Local transmission","0","20200403"
"6","Japan","2617","65","Local transmission","0","20200403"
"7","Singapore","1049","4","Local transmission","0","20200403"
"8","New Zealand","774","1","Local transmission","0","20200403"
"9","Viet Nam","233","0","Local transmission","0","20200403"
"10","Brunei Darussalam","133","1","Local transmission","0","20200403"
"11","Cambodia","110","0","Local transmission","0","20200403"
"12","French Polynesia","37","0","Local transmission","2","20200403"
"13","Mongolia","14","0","Imported cases only","1","20200403"
"14","Lao People's Democratic Republic","10","0","Local transmission","1","20200403"
"15","Democratic Republic","","","","","20200403"
"16","Fiji","7","0","Local transmission","0","20200403"
"17","Papua New Guinea","1","0","Imported cases only","13","20200403"
"18","Territories**","","","","","20200403"
"19","Guam","82","3","Local transmission","0","20200403"
"20","New Caledonia","18","0","Local transmission","0","20200403"
"21","Northern Mariana Islands (Commonwealth of the)","8","1","Local transmission","0","20200403"
"22","Islands","","","","","20200403"
"23","(Commonwealth of","","","","","20200403"
"24","the)","","","","","20200403"
"25","European Region","","","","","20200403"
"26","Italy","115242","13917","Local transmission","0","20200403"
"27","Spain","110238","10003","Local transmission","0","20200403"
"28","Germany","79696","1017","Local transmission","0","20200403"
"29","France","58327","4490","Local transmission","0","20200403"
"30","The United Kingdom","33722","2921","Local transmission","0","20200403"
"31","Switzerland","18844","536","Local transmission","0","20200403"
"32","Turkey","18135","356","Local transmission","0","20200403"
"33","Belgium","15348","1011","Local transmission","0","20200403"
"34","Netherlands","14697","1339","Local transmission","0","20200403"
"35","Austria","11129","158","Local transmission","0","20200403"
"36","Portugal","9034","209","Local transmission","0","20200403"
"37","Israel","6211","29","Local transmission","0","20200403"
"38","Sweden","5466","282","Local transmission","0","20200403"
"39","Norway","4935","42","Local transmission","0","20200403"
"40","Czechia","3858","44","Local transmission","0","20200403"
"41","Ireland","3849","98","Local transmission","0","20200403"
"42","Russian Federation","3548","30","Local transmission","0","20200403"
"43","Denmark","3386","123","Local transmission","0","20200403"
"44","Poland","2946","57","Local transmission","0","20200403"
"45","Romania","2738","94","Local transmission","0","20200403"
"46","Luxembourg","2487","30","Local transmission","0","20200403"
"47","Finland","1518","19","Local transmission","0","20200403"
"48","Greece","1514","53","Local transmission","0","20200403"
"49","Iceland","1319","4","Local transmission","0","20200403"
"50","Serbia","1171","13","Local transmission","0","20200403"
"51","Croatia","1011","7","Local transmission","0","20200403"
"52","Ukraine","987","23","Local transmission","0","20200403"
"53","Republic of Moldova","591","8","Local transmission","0","20200403"
"54","Slovenia","897","16","Local transmission","0","20200403"
"55","Estonia","858","11","Local transmission","0","20200403"
"56","Lithuania","649","9","Local transmission","0","20200403"
"57","Armenia","640","4","Local transmission","0","20200403"
"58","Hungary","585","21","Local transmission","0","20200403"
"59","Bosnia and Herzegovina","521","16","Local transmission","0","20200403"
"60","Latvia","458","0","Local transmission","0","20200403"
"61","Bulgaria","457","10","Local transmission","0","20200403"
"62","Kazakhstan","435","3","Local transmission","0","20200403"
"63","Andorra","429","15","Local transmission","0","20200403"
"64","Slovakia","426","0","Local transmission","0","20200403"
"65","Azerbaijan","400","5","Local transmission","0","20200403"
"66","North Macedonia","384","11","Local transmission","0","20200403"
"67","Cyprus","356","9","Local transmission","0","20200403"
"68","Albania","277","16","Local transmission","1","20200403"
"69","Belarus","254","4","Local transmission","0","20200403"
"70","San Marino","245","30","Local transmission","0","20200403"
"71","Uzbekistan","221","2","Local transmission","0","20200403"
"72","Malta","195","0","Local transmission","0","20200403"
"73","Georgia","148","0","Local transmission","0","20200403"
"74","Montenegro","140","2","Local transmission","0","20200403"
"75","Kyrgyzstan","130","1","Local transmission","0","20200403"
"76","Liechtenstein","75","0","Under investigation","0","20200403"
"77","Monaco","37","0","Local transmission","2","20200403"
"78","Holy See","7","0","Under investigation","0","20200403"
"79","Faroe Islands","177","0","Local transmission","0","20200403"
"80","Kosovo","126","1","Local transmission","0","20200403"
"81","Gibraltar","81","0","Local transmission","0","20200403"
"82","Jersey","81","2","Local transmission","1","20200403"
"83","Guernsey","91","1","Local transmission","0","20200403"
"84","Isle of Man","71","1","Local transmission","0","20200403"
"85","Greenland","10","0","Under investigation","5","20200403"
"86","India","1965","50","Local transmission","0","20200403"
"87","Thailand","1875","15","Local transmission","0","20200403"
"88","Indonesia","1790","170","Local transmission","0","20200403"
"89","Sri Lanka","148","3","Local transmission","0","20200403"
"90","Bangladesh","56","6","Local transmission","0","20200403"
"91","Maldives","19","0","Local transmission","0","20200403"
"92","Myanmar","16","1","Local transmission","0","20200403"
"93","Nepal","6","0","Imported cases only","0","20200403"
"94","Bhutan","5","0","Imported cases only","0","20200403"
"95","Timor-Leste","1","0","Imported cases only","13","20200403"
"96","Iran (Islamic Republic of)","50468","3160","Local transmission","0","20200403"
"97","Pakistan","2450","35","Local transmission","0","20200403"
"98","Saudi Arabia","1885","21","Local transmission","0","20200403"
"99","United Arab Emirates","1024","8","Local transmission","0","20200403"
"100","Qatar","949","3","Local transmission","0","20200403"
"101","Egypt","865","58","Local transmission","0","20200403"
"102","Iraq","772","54","Local transmission","0","20200403"
"103","Morocco","735","47","Local transmission","0","20200403"
"104","Bahrain","643","4","Local transmission","0","20200403"
"105","Lebanon","508","17","Local transmission","0","20200403"
"106","Tunisia","455","14","Local transmission","0","20200403"
"107","Kuwait","417","0","Local transmission","0","20200403"
"108","Jordan","299","5","Local transmission","0","20200403"
"109","Afghanistan","269","5","Local transmission","0","20200403"
"110","Oman","252","1","Local transmission","0","20200403"
"111","Djibouti","41","0","Local transmission","0","20200403"
"112","Syrian Arab Republic","16","2","Imported cases only","0","20200403"
"113","Libya","10","1","Local transmission","2","20200403"
"114","Sudan","8","2","Local transmission","0","20200403"
"115","Somalia","5","0","Imported cases only","2","20200403"
"116","occupied Palestinian territory","165","1","Local transmission","0","20200403"
"117","United States of America","213600","4793","Local transmission","0","20200403"
"118","Canada","10114","127","Local transmission","0","20200403"
"119","Brazil","6836","241","Local transmission","0","20200403"
"120","Chile","3404","18","Local transmission","0","20200403"
"121","Ecuador","3163","120","Local transmission","0","20200403"
"122","Dominican Republic","1380","60","Local transmission","0","20200403"
"123","Mexico","1378","37","Local transmission","0","20200403"
"124","Peru","1323","41","Local transmission","1","20200403"
"125","Panama","1317","32","Local transmission","0","20200403"
"126","Argentina","1133","31","Local transmission","0","20200403"
"127","Colombia","1065","17","Local transmission","0","20200403"
"128","Costa Rica","375","2","Local transmission","0","20200403"
"129","Uruguay","350","4","Local transmission","0","20200403"
"130","Cuba","233","6","Local transmission","0","20200403"
"131","Honduras","219","14","Local transmission","0","20200403"
"132","Venezuela (Bolivarian Republic of)","144","3","Local transmission","0","20200403"
"133","Bolivia (Plurinational State of)","123","8","Local transmission","0","20200403"
"134","Trinidad and Tobago","90","5","Local transmission","0","20200403"
"135","Paraguay","77","3","Local transmission","0","20200403"
"136","Guatemala","47","1","Local transmission","0","20200403"
"137","Barbados","45","0","Local transmission","0","20200403"
"138","Jamaica","44","3","Local transmission","0","20200403"
"139","El Salvador","41","2","Local transmission","0","20200403"
"140","Bahamas","21","1","Local transmission","0","20200403"
"141","Guyana","19","4","Local transmission","1","20200403"
"142","Haiti","16","0","Imported cases only","1","20200403"
"143","Saint Lucia","13","0","Local transmission","1","20200403"
"144","Dominica","11","0","Local transmission","7","20200403"
"145","Grenada","10","0","Local transmission","0","20200403"
"146","Saint Kitts and Nevis","8","0","Imported cases only","2","20200403"
"147","Suriname","8","0","Imported cases only","6","20200403"
"148","Antigua and Barbuda","7","0","Imported cases only","6","20200403"
"149","Nicaragua","5","1","Imported cases only","1","20200403"
"150","Belize","3","0","Local transmission","3","20200403"
"151","Saint Vincent and the Grenadines","2","0","Imported cases only","0","20200403"
"152","Puerto Rico","316","12","Local transmission","0","20200403"
"153","Martinique","131","3","Local transmission","0","20200403"
"154","Guadeloupe","128","6","Local transmission","0","20200403"
"155","Aruba","60","0","Local transmission","0","20200403"
"156","French Guiana","55","0","Local transmission","0","20200403"
"157","United States Virgin Island","33","0","Local transmission","0","20200403"
"158","Bermuda","32","0","Local transmission","1","20200403"
"159","Cayman Islands","22","1","Local transmission","0","20200403"
"160","Saint Martin","22","2","Under investigation","0","20200403"
"161","Sint Maarten","18","1","Imported cases only","0","20200403"
"162","Curaçao","11","1","Imported cases only","3","20200403"
"163","Saint Barthélemy","6","0","Under investigation","3","20200403"
"164","Montserrat","5","0","Imported cases only","6","20200403"
"165","Turks and Caicos Island","5","0","Local transmission","3","20200403"
"166","British Virgin Islands","3","0","Imported cases only","2","20200403"
"167","Anguilla","2","0","Local transmission","7","20200403"
"168","South Africa","1462","5","Local transmission","0","20200403"
"169","Algeria","986","83","Local transmission","0","20200403"
"170","Burkina Faso","261","14","Local transmission","2","20200403"
"171","Cameroon","246","7","Local transmission","0","20200403"
"172","Ghana","204","5","Local transmission","0","20200403"
"173","Senegal","195","1","Local transmission","0","20200403"
