country,confirmed,death,Transmission classification,Days since last reported case
China,83597,3351,Clusters of cases,0
Republic of Korea,10537,217,Clusters of cases,0
Japan,7255,102,Clusters of cases,0
Australia,6322,61,Clusters of cases,0
Malaysia,4683,76,Clusters of cases,0
Philippines,4648,297,Clusters of cases,0
Singapore,2532,8,Clusters of cases,0
New Zealand,1064,5,Sporadic cases,0
Viet Nam,262,0,Clusters of cases,0
Brunei Darussalam,136,1,Sporadic cases,2
Cambodia,122,0,Sporadic cases,1
Lao People's Democratic Republic,19,0,Sporadic cases,0
Fiji,16,0,Sporadic cases,2
Mongolia,16,0,Sporadic cases,4
Papua New Guinea,2,0,Sporadic cases,4
Guam,133,5,Clusters of cases,1
French Polynesia,53,0,Sporadic cases,0
New Caledonia,18,0,Sporadic cases,10
Northern Mariana Islands (Commonwealth of the),11,2,Pending,4
Spain,166019,16972,Pending,0
Italy,156363,19901,Pending,0
Germany,123016,2799,Pending,0
France,94382,14374,Pending,0
The United Kingdom,84283,10612,Pending,0
Turkey,56956,1198,Community transmission,0
Belgium,29647,3600,Pending,0
Netherlands,25587,2737,Pending,0
Switzerland,25220,858,Community transmission,0
Russian Federation,18328,148,Clusters of cases,0
Portugal,16585,504,Pending,0
Austria,13937,350,Pending,0
Israel,10878,103,Pending,0
Sweden,10483,899,Pending,0
Ireland,9655,334,Pending,0
Poland,6674,232,Pending,0
Norway,6415,103,Pending,0
Romania,6300,306,Pending,0
Denmark,6174,273,Pending,0
Czechia,5991,138,Pending,0
Serbia,3630,80,Pending,0
Luxembourg,3281,66,Pending,0
Ukraine,3102,93,Clusters of cases,0
Finland,2974,56,Pending,0
Belarus,2578,26,Clusters of cases,0
Greece,2114,98,Pending,0
Iceland,1701,8,Pending,0
Republic of Moldova,1662,33,Pending,0
Croatia,1600,23,Pending,0
Hungary,1458,109,Pending,0
Estonia,1309,25,Pending,0
Slovenia,1205,53,Pending,0
Azerbaijan,1098,11,Clusters of cases,0
Lithuania,1062,24,Pending,0
Armenia,1039,14,Clusters of cases,0
Bosnia and Herzegovina,1007,38,Community transmission,0
Kazakhstan,979,12,Pending,0
Uzbekistan,896,4,Clusters of cases,0
North Macedonia,828,34,Clusters of cases,1
Slovakia,742,2,Pending,0
Bulgaria,675,29,Pending,0
Latvia,651,5,Pending,0
Andorra,639,29,Community transmission,0
Cyprus,633,16,Pending,0
Albania,446,23,Clusters of cases,1
Kyrgyzstan,419,5,Pending,0
Malta,378,3,Pending,0
San Marino,356,35,Community transmission,1
Montenegro,267,2,Clusters of cases,0
Georgia,266,3,Clusters of cases,0
Liechtenstein,80,1,Pending,2
Monaco,54,0,Sporadic cases,4
Holy See,8,0,Sporadic cases,4
Kosovo,362,7,Community transmission,0
Isle of Man,226,1,Pending,0
Guernsey,209,6,Pending,0
Jersey,198,4,Pending,1
Faroe Islands,184,0,Pending,5
Gibraltar,129,0,Pending,0
Greenland,11,0,Pending,7
India,9152,308,Pending,0
Indonesia,4241,373,Community transmission,1
Thailand,2579,40,Pending,0
Bangladesh,621,34,Pending,1
Sri Lanka,210,7,Clusters of cases,0
Myanmar,41,4,Clusters of cases,0
Maldives,20,0,Sporadic cases,0
Nepal,12,0,Sporadic cases,0
Bhutan,5,0,Sporadic cases,10
Timor-Leste,2,0,Sporadic cases,2
Iran (Islamic Republic of),71686,4474,Community transmission,0
Pakistan,5374,93,Clusters of cases,0
Saudi Arabia,4462,59,Clusters of cases,0
United Arab Emirates,4123,22,Pending,0
Qatar,2979,7,Pending,0
Egypt,2065,159,Clusters of cases,0
Morocco,1661,118,Clusters of cases,0
Iraq,1352,76,Clusters of cases,0
Kuwait,1234,1,Clusters of cases,0
Bahrain,1136,6,Clusters of cases,0
Oman,727,4,Clusters of cases,0
Tunisia,707,31,Community transmission,0
Lebanon,630,20,Clusters of cases,0
Afghanistan,607,19,Clusters of cases,0
Jordan,389,7,Clusters of cases,0
Djibouti,215,2,Clusters of cases,0
Somalia,25,2,Sporadic cases,0
Libya,25,1,Clusters of cases,1
Syrian Arab Republic,25,2,Community transmission,1
Sudan,19,2,Sporadic cases,1
Yemen,1,0,Pending,2
occupied Palestinian territory,271,2,Clusters of cases,0
United States of America,524514,20444,Community transmission,0
Canada,23702,674,Community transmission,0
Brazil,20727,1124,Community transmission,0
Ecuador,7466,333,Community transmission,0
Chile,7213,80,Community transmission,0
Peru,6848,181,Community transmission,0
Mexico,4219,273,Community transmission,0
Panama,3234,79,Community transmission,0
Dominican Republic,2967,173,Community transmission,0
Colombia,2709,100,Community transmission,0
Argentina,1975,82,Community transmission,1
Cuba,669,18,Clusters of cases,0
Costa Rica,577,3,Clusters of cases,0
Uruguay,501,7,Clusters of cases,0
Honduras,393,25,Clusters of cases,0
Bolivia (Plurinational State of),300,24,Clusters of cases,0
Venezuela (Bolivarian Republic of),171,9,Clusters of cases,2
Guatemala,153,3,Clusters of cases,0
Paraguay,134,6,Community transmission,0
El Salvador,125,6,Clusters of cases,0
Trinidad and Tobago,112,8,Clusters of cases,0
Jamaica,69,4,Clusters of cases,0
Barbados,68,4,Clusters of cases,0
Bahamas,42,8,Clusters of cases,1
Guyana,37,6,Clusters of cases,3
Haiti,31,2,Community transmission,1
