country,confirmed,death,Transmission classification,Days since last reported case,date
China,84180,4642,Clusters of cases,0,20200418
Republic of Korea,10653,232,Clusters of cases,0,20200418
Japan,9795,154,Clusters of cases,0,20200418
Australia,6533,67,Clusters of cases,0,20200418
Philippines,5878,387,Clusters of cases,0,20200418
Malaysia,5251,86,Clusters of cases,0,20200418
Singapore,5050,11,Clusters of cases,0,20200418
New Zealand,1094,11,Clusters of cases,0,20200418
Viet Nam,268,0,Clusters of cases,1,20200418
Brunei Darussalam,136,1,Sporadic cases,7,20200418
Cambodia,122,0,Sporadic cases,6,20200418
Mongolia,31,0,Sporadic cases,1,20200418
Lao People's Democratic Republic,19,0,Sporadic cases,5,20200418
Fiji,17,0,Sporadic cases,1,20200418
Papua New Guinea,7,0,Sporadic cases,1,20200418
Guam,135,5,Clusters of cases,3,20200418
French Polynesia,55,0,Sporadic cases,4,20200418
New Caledonia,18,0,Sporadic cases,15,20200418
Northern Mariana Islands (Commonwealth of the),14,2,Pending,0,20200418
Spain,188068,19478,Pending,0,20200418
Italy,172434,22747,Pending,0,20200418
Germany,137439,4110,Pending,0,20200418
The United Kingdom,108696,14576,Pending,0,20200418
France,108163,18659,Pending,0,20200418
Turkey,78546,1769,Community transmission,0,20200418
Russian Federation,36793,313,Clusters of cases,0,20200418
Belgium,36138,5163,Pending,0,20200418
Netherlands,30449,3459,Pending,0,20200418
Switzerland,26997,1058,Community transmission,0,20200418
Portugal,19022,657,Pending,0,20200418
Austria,14603,431,Pending,0,20200418
Ireland,13980,530,Pending,0,20200418
Sweden,13216,1400,Pending,0,20200418
Israel,12855,148,Pending,0,20200418
Poland,8379,332,Pending,0,20200418
Romania,8067,400,Pending,0,20200418
Denmark,7073,336,Pending,0,20200418
Norway,6791,136,Pending,1,20200418
Czechia,6549,173,Pending,0,20200418
Serbia,5690,110,Pending,0,20200418
Ukraine,5106,133,Community transmission,0,20200418
Belarus,4779,43,Clusters of cases,0,20200418
Finland,3489,82,Pending,0,20200418
Luxembourg,3480,72,Pending,0,20200418
