"","country","xcoord","ycoord","20200121","20200122","20200123","20200124","20200125","20200126","20200127","20200128","20200129","20200130","20200131","20200201","20200202","20200203","20200204","20200205","20200206","20200207","20200208","20200209","20200210","20200211","20200212","20200213","20200214","20200215","20200216","20200217","20200218","20200219","20200220","20200221","20200222","20200223","20200224","20200225","20200226","20200227","20200228","20200229","20200301","20200302","20200303","20200304","20200305","20200306","20200307","20200308","20200309","20200310","20200311","20200312","20200313","20200314","20200315","20200316","20200317","20200318","20200319","20200320","20200321","20200322","20200323","20200324","20200325","20200326","20200327","20200328","20200329","20200330","20200331","20200401","20200402","20200403","20200404","20200405","20200406","20200407","20200408","20200409","20200410","20200411","20200412","20200413","20200414","20200415","20200416","20200417","20200418","20200419","20200420","20200421","20200422","20200423","20200424","20200425","20200426","20200427","20200428","20200429","20200430","20200501","20200502","20200503","20200504","20200505","20200506","20200507","20200508","20200509"
"1","Abyei",28.3975,9.7746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Afghanistan",65.9979,33.8179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,"1",1,"1","4","4","4","4",7,7,7,"10",16,21,"22","22",22,24,24,40,42,74,80,80,106,114,114,166,192,235,269,270,299,337,367,423,444,521,521,555,607,665,770,794,845,908,933,996,1026,1092,1176,1226,1330,1463,1531,1703,1827,1827,2171,2469,2469,2469,2469,3224,3392,"3563",3563
"3","Aksai Chin",79.1237,35.0111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Albania",20.0708,41.1389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","2","10",10,23,33,"38",42,51,"55","59",70,70,76,89,123,146,174,186,197,212,223,223,243,277,277,333,333,377,377,400,409,416,416,446,446,475,475,494,518,548,548,562,609,634,634,678,678,712,726,736,766,773,773,789,795,795,803,832,832,"850",856
"5","Algeria",2.6825,28.1467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,5,5,"12",12,"17","17","20","20","20",25,25,26,"37",49,60,"60","72",82,94,94,201,231,264,264,305,367,409,454,511,584,847,986,986,1251,1251,1423,1468,1572,1666,1761,1825,1914,1983,2070,2160,2268,2418,2534,2629,2718,2811,2910,3007,3127,3256,3382,3517,3649,3848,4006,4154,4295,4474,4648,4838,4997,"5182",5369
"6","American Samoa",-170.7284,-14.304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Andorra",1.5914,42.5422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"1",1,"1","1","1","1","1",1,1,2,"2",2,14,"16","39",75,75,88,113,164,188,213,231,289,321,341,370,376,396,429,442,466,523,540,551,566,589,602,622,639,651,659,673,694,703,704,717,718,723,724,726,733,738,740,748,753,753,746,746,747,749,751,751,752,"752",754
"8","Angola",17.5818,-12.3604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,2,2,7,8,8,10,10,14,16,17,19,19,19,19,19,19,19,19,19,19,19,19,24,24,24,25,25,25,26,27,27,27,27,29,35,35,35,36,36,"36",36
"9","Anguilla",-63.0376,18.2241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"3",3
